nn,unique_id,reg,urban_rural,oblast,"smd
",locality_type,description_boundaries,200_character_description,number_voters,electoral_id
296,17075,SOUTH,rural,Odesa Oblast,137,7,с.Федорівка,,274,530257
298,16843,SOUTH,urban,Odesa Oblast,135,1,"м.Одеса – вул.Довженка: 1–5, 6–8, 9, 9Б; пров.Шампанський: 1–2/1;","м.Одеса – вул.Довженка: 1–5, 6–8, 9, 9Б; пров.Шампанський: 1–2/1;",1873,180008
302,15471,WEST,rural,Lviv Oblast,126,7,с.Старі Стрілища,,180,460320
310,26010,WEST,urban,Khmelnytskyi Oblast,191,4,м.Старокостянтинів – вул.Франка,,2028,681409
310,20876,EAST,urban,Sumy Oblast,160,3,"м.Конотоп – вул.Виговського, вул.Володимира Вернадського, вул.В’ячеслава Чорновола, вул.Грибоєдова, вул.Декабристів, вул.Дмитра Вишневецького: 66–150; вул.Дмитра Вишневецького, Грибоєдова, вул.Дмитра Карпенка, вул.Єсеніна, вул.Івана Мазепи, вул.Івана Франка: 54–65; вул.Квітки-Основ’яненка, вул.Куколка, вул.Лукіна, вул.ПМС-119 вагон гурт., вул.Професійна: 50, 52, 54, 58–60, 62, 64, 66, 68, 72, 78, 82, 86–88, 90, 92, 94–96, 98, 100, 102, 104, 106, 108–108 к.4, 112–114, 116, 118–281; пров.1 Виговського, пров.1 Івана Франка, пров.1 Квітки-Основ’яненка, пров.2 Івана Франка, пров.2 Квітки-Основ’яненка, пров.3 Квітки-Основ’яненка, пров.4 Дмитра Вишневецького, пров.5 Дмитра Вишневецького","м.Конотоп – вул.Виговського, вул.Володимира Вернадського, вул.В’ячеслава Чорновола, вул.Грибоєдова, вул.Декабристів, вул.Дмитра Вишневецького: 66–150; вул.Дмитра Вишневецького, Грибоєдова, вул.Дмитра ",1491,180008
311,10656,North and Center,urban,Kyiv Oblast,91,4,"м.Фастів – вул.Гагаріна, вул.Заводська, вул.Льва Толстого: 1–8; вул.Соборна: 18–31, 33, 37–41; вул.Шевченка: 1–15, 17, 21, 23, 25, 27–27Б; пров.Заводський",,1849,321388
312,8011,WEST,urban,Zakarpattia Oblast,71,4,"м.Хуст – вул.Будівельників, вул.Возз’єднання, вул.Гагаріна, вул.Глінки, вул.Гоголя, вул.єпископа Івана Маргітича, вул.Космонавтів, вул.Кутузова, вул.М. Коцюбинського, вул.Марамороська, вул.Михайла Кречка, вул.О. Невського, вул.Павловича, вул.Тімірязєва, вул.9-го Травня","м.Хуст – вул.Будівельників, вул.Возз’єднання, вул.Гагаріна, вул.Глінки, вул.Гоголя, вул.єпископа Івана Маргітича, вул.Космонавтів, вул.Кутузова, вул.М. Коцюбинського, вул.Марамороська, вул.Михайла Кре",1340,480866
312,18054,SOUTH,urban,Odesa Oblast,143,3,"м.Ізмаїл – вул.Аеродромна, вул.Аеродромне шосе, вул.Болградське шосе, вул.Гагаріна: 12А, 16–26; вул.Залізнична, вул.Локомотивна, вул.Поперічна, пров.Аеродромний, просп.Миру: 1–1А, 3–7А, 11–13/2, 15;",,2241,510997
316,20882,EAST,urban,Sumy Oblast,160,3,"м.Конотоп – вул.Авіаторів, вул.Ананьєва, вул.Деповська: 86, 101–130; вул.Івана Богуна: 21, 23, 25, 27, 29, 31, 33, 37–56; вул.Клубна: 26, 28, 30, 32, 34, 36–38, 40, 42, 44, 46, 48, 50, 52, 54, 56–58, 60, 62, 64, 66–71, 77, 79–89; вул.Кооперативна, вул.Кооперативна, Лермонтова, вул.Крилова, Ананьєва, вул.Лермонтова: 15–23; вул.Маяковського, вул.Мірошниченка, вул.Надколійна, вул.Осіння, вул.Петра Дорошенка, вул.Прорізна: 36, 38, 40, 42, 44–87, 89, 93; вул.Прорізна,Кооперативна, вул.Рєпіна, вул.Спортивна, вул.Степана Разіна: 21–40; вул.Юрія Липи, вул.Ярослава Мудрого, пров.1 Мірошниченка, пров.1 Успенсько-Троїцької, пров.2 Авіаторів, пров.2 Успенсько-Троїцької, пров.3 Успенсько-Троїцької","м.Конотоп – вул.Авіаторів, вул.Ананьєва, вул.Деповська: 86, 101–130; вул.Івана Богуна: 21, 23, 25, 27, 29, 31, 33, 37–56; вул.Клубна: 26, 28, 30, 32, 34, 36–38, 40, 42, 44, 46, 48, 50, 52, 54, 56–58, ",2289,180008
317,10642,North and Center,urban,Kyiv Oblast,91,4,"м.Фастів – вул.Бишівська, вул.Бояринцева, вул.Гвардійців Мінометників, вул.Генерала Пількевича, вул.Григоренка Дмитра, вул.Грушевського, вул.Драгоманова, вул.Житомирська, вул.Корженевського, вул.Савченка, вул.Семена Білого, вул.Силенка, вул.Стовби, пров.Житомирський, пров.Корженевського, пров.Савченка","м.Фастів – вул.Бишівська, вул.Бояринцева, вул.Гвардійців Мінометників, вул.Генерала Пількевича, вул.Григоренка Дмитра, вул.Грушевського, вул.Драгоманова, вул.Житомирська, вул.Корженевського, вул.Савче",1880,480866
317,15486,WEST,rural,Lviv Oblast,126,7,с.Дем’янка-Наддністрянська,,162,460335
317,22500,WEST,urban,Ternopil Oblast,167,4,"м.Чортків – вул.Дениса Січинського: 1–5А, 7–31; вул.Князя Володимира Великого: 6–6А, 8–8Б;",,1990,611015
321,20887,EAST,urban,Sumy Oblast,160,3,"м.Конотоп – вул.Клубна: 74 к.А–76, 78–78 к.ГУРТ., 103–117, 119 к.А–119 к.Б; вул.Прорізна: 88, 90–92;",,1858,590764
323,15492,WEST,rural,Lviv Oblast,126,7,с.Бородчиці,,137,460341
324,10644,North and Center,urban,Kyiv Oblast,91,4,"м.Фастів – вул.Берегова, вул.Боженка Олександра Гавриловича, вул.Заборовського, вул.Княгині Ольги: 35, 37, 41, 43, 45, 47, 49, 51, 53, 55–106; вул.Космонавтів, вул.Курчатова, вул.Пушкіна, вул.Свято-Покровська: 29, 31, 33, 35, 37, 39, 41–80; вул.Фомічова, вул.Фофанова, вул.Чайковського, вул.Щастя, пров.Береговий, пров.Заборовського, пров.Пушкіна","м.Фастів – вул.Берегова, вул.Боженка Олександра Гавриловича, вул.Заборовського, вул.Княгині Ольги: 35, 37, 41, 43, 45, 47, 49, 51, 53, 55–106; вул.Космонавтів, вул.Курчатова, вул.Пушкіна, вул.Свято-По",1738,480866
325,17106,SOUTH,rural,Odesa Oblast,137,7,с.Римарівка,,239,510599
327,18042,SOUTH,urban,Odesa Oblast,143,3,"м.Ізмаїл – вул.Бендерська: 78, 80, 82, 84–84А, 86, 88–90, 92, 94–139; вул.Бесарабська: 67–91; вул.Болградська: 109–109А, 111, 113, 115, 117–151; вул.Винниченка Володимира: 52, 54–90; вул.Гоголя: 116, 127; вул.Грецька: 85, 87, 91, 93–138А; вул.Гурського Олексія: 47–90, 92, 94; вул.Достоєвського, вул.Дунайська: 55, 57–104; вул.Жуковського, вул.Кафедральна: 70, 72, 74–76, 78–78А, 80, 86, 88, 90, 93–129; вул.Кольцова: 2–36; вул.Купріна, вул.Левітана, вул.Лісова, вул.Маламена Олександра: 34–41; вул.Некрасова: 50–52А, 54, 58, 60, 62А, 64–64А, 66–66А, 68, 70, 72–72Б, 74–74В/414, 76, 78А, 80, 82А, 88–88А, 90, 92; вул.Новокілійська: 82, 84, 86–86А, 88, 90–113; вул.Павлова, вул.Першотравнева: 2–112, 114, 116, 118, 122–128; вул.Покровська: 100, 102–149; вул.Пушкіна: 91, 93–148 к.1; вул.Семінарська: 112, 114, 117; вул.Сергія Бурлаченка: 83–83В, 85, 87, 89, 91–91А, 96–114; вул.Соборна: 77, 79, 81–116; вул.Східна: 1–8, 10, 12; вул.Тимирязєва: 49, 51–51А, 53, 55А, 57, 59–74; вул.Тиха: 1, 5, 7, 9, 11, 25, 28–32; вул.Толбухіна: 104, 108–161; вул.Топольна: 40–42А, 44, 61–74; вул.Тульчианівська: 94, 96–98, 100, 102, 104, 108, 110–181; пров.Одеський, пров.Павлова, пров.2-й Першотравневий, пров.3-й Першотравневий","м.Ізмаїл – вул.Бендерська: 78, 80, 82, 84–84А, 86, 88–90, 92, 94–139; вул.Бесарабська: 67–91; вул.Болградська: 109–109А, 111, 113, 115, 117–151; вул.Винниченка Володимира: 52, 54–90; вул.Гоголя: 116, ",2159,180008
336,15517,WEST,rural,Lviv Oblast,126,7,с.Покрівці,,472,460366
336,17117,SOUTH,rural,Odesa Oblast,137,7,с.Дігори,,76,510610
336,17516,SOUTH,urban,Odesa Oblast,139,4,м.Южне – вул.Будівельників: 3–9; вул.Іванова: 18; вул.Приморська: 19; просп.Миру: 28;,,2111,511064
337,20266,WEST,urban,Rivne Oblast,156,4,"м.Сарни – вул.Бєлгородська: 6–9; вул.Дмитра Яворницького, вул.Коперніка, вул.Матросова, вул.Миколи Лисенка, вул.Мічуріна, вул.Подільська, вул.Полтавська, вул.Пушкіна: 2–17А; вул.Східна, вул.Червона",,915,560787
337,17771,SOUTH,urban,Odesa Oblast,141,4,"м.Білгород-Дністровський – вул.Акерман, вул.Буджакська: 13–13 к.А, 15, 17–40, 42, 44, 46, 48, 50, 52, 54–54 к.В; вул.Виноградна: 2–8, 10, 12–14, 16; вул.Дунайська, вул.Заводська, вул.Кишинівська: 117, 119, 121–123, 125, 127–127 к.А, 129–129 к.А, 131–131 к.А, 133, 135, 137, 139, 141, 143, 145, 147, 149, 151, 155, 157, 159, 161–161 к.Б, 163, 165, 167, 169, 171–171 к.Б, 173–173 к.А, 175, 177, 179 к.А, 181, 183–183 к.Б, 185–185 к.А, 187; вул.Кільцева, вул.Козацька: 20–22, 24, 26, 28, 30–30 к.А, 32, 34, 36, 38, 40, 42, 44–59; вул.Новосадова, вул.Островського: 2–43 к.А, 45; вул.Толбухіна: 24 к.А, 26–81 к.Б, 85, 89, 91–91 к.А, 93, 97, 99, 101, 103–103 к.А; вул.Чорноморська: 13 к.А, 15, 17, 21, 23–23 к.А, 25, 27, 29–29 к.А, 31–31 к.А, 33–33 к.А, 35, 37, 39–39 к.А, 41–43 к.А, 45–45 к.А, 47, 54–56, 58, 60, 62, 64, 66, 68, 70, 72 к.А, 74–76, 78, 80–82 к.А, 84–84 к.Г, 86–86 к.В, 88–88 к.Б, 90–92, 94–102; пров.Абрикосовий, пров.Буджакський, пров.Будівельний, пров.Виноградний, пров.Глухий: 20–45; пров.Горний, пров.Дальний, пров.Дунайський, пров.Квітковий, пров.Кривий, пров.Новосадовий, пров.Окраїнний, пров.Толбухіна","м.Білгород-Дністровський – вул.Акерман, вул.Буджакська: 13–13 к.А, 15, 17–40, 42, 44, 46, 48, 50, 52, 54–54 к.В; вул.Виноградна: 2–8, 10, 12–14, 16; вул.Дунайська, вул.Заводська, вул.Кишинівська: 117,",2036,510956
340,15521,WEST,rural,Lviv Oblast,126,7,с.Журавків,,264,460370
340,8015,WEST,urban,Zakarpattia Oblast,71,4,"м.Хуст – вул.Августина Єнковського, вул.Визволення, вул.Замкова, вул.Ластовча, вул.Лесі Українки, вул.Ломоносова, вул.Миру, вул.Міська, вул.Олега Ольжича, вул.Соборної України, вул.Степана Паппа, вул.Тиха, вул.Червонодеревників, вул.900-річчя Хуста, набережна Ужгородська","м.Хуст – вул.Августина Єнковського, вул.Визволення, вул.Замкова, вул.Ластовча, вул.Лесі Українки, вул.Ломоносова, вул.Миру, вул.Міська, вул.Олега Ольжича, вул.Соборної України, вул.Степана Паппа, вул.",1189,480866
341,20907,EAST,urban,Sumy Oblast,160,3,"с.Підлипне – вул.Весняна, вул.Вишнева, вул.Дружби, вул.Затишна, вул.Лазаревського, вул.Лесі Українки, вул.Лисого, вул.Лугова, вул.Миру, вул.Молодіжна, вул.Олега Кошового, вул.Осіння, вул.Островського, вул.Республіканська, вул.Соколина, вул.Сонячна, вул.Степова, вул.Червона, вул.Шевченка, вул.1 Травня, пров.1 Дружби, пров.1 Лазаревського, пров.1 Лесі Українки, пров.1 Островського, пров.1 Республіканської, пров.1 Шевченка, пров.2 Островського","с.Підлипне – вул.Весняна, вул.Вишнева, вул.Дружби, вул.Затишна, вул.Лазаревського, вул.Лесі Українки, вул.Лисого, вул.Лугова, вул.Миру, вул.Молодіжна, вул.Олега Кошового, вул.Осіння, вул.Островського,",1749,480278
345,17137,SOUTH,urban,Odesa Oblast,137,4,"м.Подільськ – вул.Бочковича, вул.Гагаріна, вул.Грабовського, вул.Добровольського, вул.Заводська, вул.Миколаївська, вул.ретранслятора Дім, вул.Соборна: 275; вул.Стуса, вул.Терешкової, вул.Фабрична, пров.Бочковича, пров.Добровольського, пров.Довженка, пров.Соборний, пров.Терешкової, пров.Фабричний","м.Подільськ – вул.Бочковича, вул.Гагаріна, вул.Грабовського, вул.Добровольського, вул.Заводська, вул.Миколаївська, вул.ретранслятора Дім, вул.Соборна: 275; вул.Стуса, вул.Терешкової, вул.Фабрична, про",1321,180008
346,26015,WEST,urban,Khmelnytskyi Oblast,191,4,м.Старокостянтинів – вул.Софійська,,1057,681414
347,17128,SOUTH,rural,Odesa Oblast,137,7,"с.Концеба – вул.Вишнева: 62А, 226; вул.Джерельна, вул.Зарічна, вул.Коцюбинського, вул.Лесі Українки, вул.Миру, вул.Партизанська, вул.Підгірна, вул.Пушкіна, вул.Толстого, вул.Центральна",,602,510772
348,20138,WEST,urban,Rivne Oblast,156,5,"м.Березне – вул.Берегового, вул.Буховича, вул.Вишнева, вул.Горна, вул.Київська, вул.Коперніка, вул.Молодіжна, вул.Набережна, вул.Нова, вул.Поштова, вул.Прислучанська, вул.Селецька, вул.Терешкової, вул.Франка, вул.хутір Верба, пров.Берегового, пров.Буховича, пров.Вишневий, пров.Селецький, пров.Терешкової, пров.Тихий","м.Березне – вул.Берегового, вул.Буховича, вул.Вишнева, вул.Горна, вул.Київська, вул.Коперніка, вул.Молодіжна, вул.Набережна, вул.Нова, вул.Поштова, вул.Прислучанська, вул.Селецька, вул.Терешкової, вул",1327,560001
349,20918,EAST,urban,Sumy Oblast,160,3,"м.Шостка – вул.Свемовська: 1–4; вул.Чернігівська: 12–12А, 14, 19–21А;",,2047,590858
349,16394,SOUTH,urban,Mykolaiv Oblast,131,4,"м.Южноукраїнськ – бульв.Курчатова, просп.Незалежності: 1; просп.Соборності: 7;",,1780,480712
350,18865,North and Center,rural,Poltava Oblast ,149,7,"с.Вишняки, с.Гайове, с.Трудовик",,191,530333
350,6090,North and Center,urban,Zhytomyr Oblast,63,5,"м.Андрушівка – вул.Будівельників, вул.Залізнична, вул.К.Маркса, вул.Лисенко: 16–46; вул.Незалежності, вул.Хлібна, вул.Цегельна, вул.Шевченка, пров.Залізничний, пров.К.Маркса, пров.Лисенко, пров.Урожайний, пров.2-й Лисенко",,663,180006
350,24792,SOUTH,urban,Kherson Oblast,185,4,"м.Каховка – вул.Айвазовського: 2А, 4А, 14, 16; вул.Бориса Кенджієва, вул.Гагаріна, вул.Геологів, вул.Гірників, вул.Дунаєвського, вул.З.Космодем’янської: 1–30, 32, 34, 36, 38, 40, 42, 44, 46, 48; вул.Комарова, вул.Мелітопольська: 2А–6Б, 8А, 10А, 12А–14А, 16А, 18А, 20А–22А, 24А–26А, 28–28А, 30–30Б, 34А, 36; вул.Нафтовиків, вул.Некрасова, вул.Радіщева: 2–55, 57; вул.Рилєєва, вул.Шкільна, вул.Шостаковича, пров.З.Космодем’янської","м.Каховка – вул.Айвазовського: 2А, 4А, 14, 16; вул.Бориса Кенджієва, вул.Гагаріна, вул.Геологів, вул.Гірників, вул.Дунаєвського, вул.З.Космодем’янської: 1–30, 32, 34, 36, 38, 40, 42, 44, 46, 48; вул.К",1498,180008
351,20139,WEST,urban,Rivne Oblast,156,5,"м.Березне – вул.Богуна, вул.Весняна, вул.Висока, вул.Відінська, вул.В’ячеслава Чорновола, вул.Гагаріна, вул.Городищенська, вул.Григорія Сковороди, вул.Заводська, вул.Затишна, вул.Калинова, вул.Каштанова, вул.Лісна, вул.Островського, вул.Паркова, вул.Покровська, вул.Світанкова, вул.Сонячна, вул.Тополева, вул.24 Серпня, пров.Відінський, пров.Грушевського, пров.Островського","м.Березне – вул.Богуна, вул.Весняна, вул.Висока, вул.Відінська, вул.В’ячеслава Чорновола, вул.Гагаріна, вул.Городищенська, вул.Григорія Сковороди, вул.Заводська, вул.Затишна, вул.Калинова, вул.Каштано",1340,560002
352,18942,North and Center,rural,Poltava Oblast ,149,7,"с.Мала Перещепина, с.Велике Болото, с.Кустолове Перше",,1325,530633
353,17774,SOUTH,urban,Odesa Oblast,141,4,"м.Білгород-Дністровський – вул.Артільна, вул.Архітектурна, вул.Б. Хмельницького, вул.Багрицького, вул.Горіхова, вул.Демократична, вул.Дружби, вул.Економічна, вул.Ентузіастів, вул.Заливна: 20–35; вул.Катаєва, вул.Каштанова, вул.Кишинівська: 214, 216, 218, 220–222, 224–230, 232–338; вул.Лихачова, вул.Міцкевича, вул.Некрасова, вул.Новобудов, вул.Овражна, вул.Переможненська: 50–50 к.А, 52, 56, 58 к.А, 60, 62, 64–64 к.Б, 65 к.А–115; вул.Промислова, вул.Профсоюзна, вул.Робоча, вул.Степова: 1–56, 58; вул.Тираспільська: 1–30, 32, 34, 36, 38, 40, 42, 44–46 к.А; вул.Тіниста, вул.Шаповалова, вул.Ювілейна, вул.30 років Перемоги: 1–19, 21, 23, 25; вул.9-го січня, пров.Катаєва, пров.Кишинівський, пров.Міцкевича, пров.Новоселів, пров.Овражний, пров.Переможненський, пров.Тінистий, пров.Шаповалова, пров.9-го січня","м.Білгород-Дністровський – вул.Артільна, вул.Архітектурна, вул.Б. Хмельницького, вул.Багрицького, вул.Горіхова, вул.Демократична, вул.Дружби, вул.Економічна, вул.Ентузіастів, вул.Заливна: 20–35; вул.К",2017,510959
355,25809,WEST,urban,Khmelnytskyi Oblast,191,5,"м.Деражня – вул.Ахматової, вул.Барська, вул.Б.Олійника, вул.Б.Хмельницького, вул.Грушевського, вул.Дорошенка, вул.Євгена Андріюка, вул.Кушнаренко, вул.Лесі Українки, вул.Лісова, вул.Майдан Привокзальний, вул.Миру: 1–83 к.3, 85–98; вул.Молодіжна, вул.Подільська, вул.Туза, вул.Ювілейна, пров.Барський, пров.Вокзальний, пров.Миру, пров.Новий, пров.Піонерський","м.Деражня – вул.Ахматової, вул.Барська, вул.Б.Олійника, вул.Б.Хмельницького, вул.Грушевського, вул.Дорошенка, вул.Євгена Андріюка, вул.Кушнаренко, вул.Лесі Українки, вул.Лісова, вул.Майдан Привокзальн",2119,180008
356,470,North and Center,urban,Vinnytsia Oblast ,14,5,"м.Бар – вул.Арсенальна, вул.Богдана Хмельницького, вул.Бони Сфорци: 40, 50, 52–76; вул.В.Маняка, вул.Воїнів-інтернаціоналістів, вул.Героїв Чорнобиля, вул.Довбуша, вул.Є.Новолинника, вул.Заводська, вул.Залізнична, вул.Кармелюка, вул.П.Мельника, вул.Стельмаха, вул.Трудова, вул.Цукрового заводу, вул.Шевченка, вул.Шпаковича, пров.Заводський, пров.Затишний, пров.Кармелюка, пров.Шевченка","м.Бар – вул.Арсенальна, вул.Богдана Хмельницького, вул.Бони Сфорци: 40, 50, 52–76; вул.В.Маняка, вул.Воїнів-інтернаціоналістів, вул.Героїв Чорнобиля, вул.Довбуша, вул.Є.Новолинника, вул.Заводська, вул",1844,50005
359,18777,North and Center,urban,Poltava Oblast ,149,5,"м.Карлівка – вул.Великотирнівська: 36/1–190; вул.Гагаріна, вул.Горького, вул.Грушевського, вул.Затишна, вул.Котляревського, вул.Красноперича, вул.Красноперівський Ліс, вул.Лісна, вул.М.Скорика, вул.Нова, вул.Полтавський шлях: 4/16–6, 8–8А, 16, 18, 20, 22–26, 28, 30, 36, 38, 40/2; вул.Пушкіна, вул.Сковороди, вул.Торгова, вул.Успенська: 26–26/5, 28, 30, 32–175; вул.Холодноярська, вул.Шевченка, пров.Базарний, пров.Гагаріна, пров.Градизький, пров.Дружби, пров.Кільцевий, пров.Лісний, пров.Лютневий, пров.Максименка, пров.Піщаний, пров.Правди, пров.Прияружний, пров.Пролетарський, пров.Пушкіна, пров.Ринковий, пров.Садовий, пров.С.Наливайка, пров.Степовий, пров.Торговий, пров.Тупий, пров.Успенський","м.Карлівка – вул.Великотирнівська: 36/1–190; вул.Гагаріна, вул.Горького, вул.Грушевського, вул.Затишна, вул.Котляревського, вул.Красноперича, вул.Красноперівський Ліс, вул.Лісна, вул.М.Скорика, вул.Но",2027,180008
359,17775,SOUTH,urban,Odesa Oblast,141,4,"м.Білгород-Дністровський – вул.Абрикосова, вул.Активістів, вул.Березова, вул.Вишнева, вул.Грушевського, вул.Долинівська, вул.Івасюка, вул.Ізмаїльська: 127, 129–131 к.А, 133–133 к.А, 135–135 к.А, 139–139 к.Б, 141–141 к.В, 143–143 к.А, 145–145 к.А, 147–147 к.А, 149–149 к.А; вул.Індустріальна, вул.Лісова, вул.Софіївська, вул.Шовковична, пров.Лісовий, пров.Шовковичний","м.Білгород-Дністровський – вул.Абрикосова, вул.Активістів, вул.Березова, вул.Вишнева, вул.Грушевського, вул.Долинівська, вул.Івасюка, вул.Ізмаїльська: 127, 129–131 к.А, 133–133 к.А, 135–135 к.А, 139–1",1804,510960
360,20929,EAST,urban,Sumy Oblast,160,3,"м.Шостка – вул.Миру: 2–5, 8–11; вул.Свободи: 32, 43–43А, 45, 47, 49А;",,2095,590869
361,27886,WEST,urban,Chernivtsi Oblast,203,5,м.Герца,,1718,730042
362,24794,SOUTH,urban,Kherson Oblast,185,4,"м.Каховка – вул.Велика Куликовська: 1–67, 69–71; вул.Гетьмана Сагайдачного: 1–35, 37, 41–41А; вул.Горького, вул.Г.Сковороди, вул.Золіна: 3В–7Г, 12, 16, 18–20, 22, 24, 26, 28–32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54; вул.Кобзарська, вул.М.Грушевського, вул.Мелітопольська: 27, 29–29А, 31–31А, 33, 35, 37–39, 41, 45, 47, 49, 74, 76, 78, 80, 82–88, 90, 92, 94–94А, 96, 98, 100, 102, 104, 106, 110, 112, 114, 116–118, 122; вул.Набережна: 1; вул.Осипенко: 1–33, 35; вул.П.Орлика, вул.Портова, вул.Пушкіна: 1–66, 68–70, 72–78; вул.Слобідська, вул.Слобідська-Пушкіна, вул.Шевченка, пров.Портовий","м.Каховка – вул.Велика Куликовська: 1–67, 69–71; вул.Гетьмана Сагайдачного: 1–35, 37, 41–41А; вул.Горького, вул.Г.Сковороди, вул.Золіна: 3В–7Г, 12, 16, 18–20, 22, 24, 26, 28–32, 34, 36, 38, 40, 42, 44",2050,180008
368,20937,EAST,urban,Sumy Oblast,160,3,"м.Шостка – вул.Вознесенська, вул.Зоряна, вул.Колодка, вул.Механізаторів, вул.Сакко і Ванцетті, вул.Скоропадського, вул.Троїцька, вул.Чехова, вул.Шкільна, пров.Вознесенський, пров.Зарічний, пров.Зоряний, пров.Скоропадського, пров.Чехова, пров.Шкільний",,1645,590877
369,472,North and Center,urban,Vinnytsia Oblast ,14,5,"м.Бар – вул.Ватутіна, вул.Виговського, вул.Визволителів, вул.Герасимчука, вул.Данила Нечая, вул.Довженка, вул.Дорошенка, вул.Європейська, вул.Івана Богуна, вул.Івана Франка, вул.Котова, вул.Лялі Ратушної, вул.М.Залізняка, вул.Молодіжна, вул.Набережна, вул.Наливайка, вул.Некрасова, вул.Новоселів, вул.Порика, вул.Садова, вул.Сонячна, вул.Чернишевського, вул.Черняховського, пров.Мазепи","м.Бар – вул.Ватутіна, вул.Виговського, вул.Визволителів, вул.Герасимчука, вул.Данила Нечая, вул.Довженка, вул.Дорошенка, вул.Європейська, вул.Івана Богуна, вул.Івана Франка, вул.Котова, вул.Лялі Ратуш",2140,50007
370,27958,WEST,urban,Chernivtsi Oblast,203,5,"м.Новоселиця – вул.Банна, вул.Бессарабська, вул.Бондаренка, вул.Гейне, вул.Глібова, вул.Дружби, вул.Залізнична, вул.Зелена, вул.І. Франка, вул.Коберідзе, вул.Комарова, вул.Макаренка, вул.Миколи Мозгового, вул.Молодіжна, вул.Новоселицька, вул.Окружна, вул.Пирогова, вул.Привокзальна, вул.Ринкова, вул.Різдвяна, вул.Складська, вул.Х. Олентиря, вул.Хотинська, вул.Центральна: 1–32Б, 36, 40, 42, 44, 46–54, 56, 58–58А, 60, 62; пров.Базарний, пров.Бессарабський, пров.Гейне, пров.Глібова, пров.Карамзіна, пров.Комарова, пров.Пирогова, пров.Складський, пров.Хотинський, пров.Шкільний","м.Новоселиця – вул.Банна, вул.Бессарабська, вул.Бондаренка, вул.Гейне, вул.Глібова, вул.Дружби, вул.Залізнична, вул.Зелена, вул.І. Франка, вул.Коберідзе, вул.Комарова, вул.Макаренка, вул.Миколи Мозгов",1944,180008
370,17522,SOUTH,urban,Odesa Oblast,139,4,"м.Южне – вул.Хіміків: 18–22; просп.Григорівського десанту: 22А, 30/16;",,1981,511070
371,17777,SOUTH,urban,Odesa Oblast,141,4,"м.Білгород-Дністровський – вул.Белінського, вул.Київська, вул.Кочубинського, вул.Одеська, вул.Приморська: 2–2 к.В, 4, 6–6 к.Б, 8, 10–10 к.А, 12, 14–14 к.А, 16, 18 к.А, 20, 22, 24, 26, 28, 30, 32, 34, 36–38, 40, 42, 44–46, 48, 50, 52, 54, 56, 58, 60, 62, 66–66 к.А, 68–70, 72–74; вул.Татарбунарського повстання, вул.Театральна, пров.Одеський","м.Білгород-Дністровський – вул.Белінського, вул.Київська, вул.Кочубинського, вул.Одеська, вул.Приморська: 2–2 к.В, 4, 6–6 к.Б, 8, 10–10 к.А, 12, 14–14 к.А, 16, 18 к.А, 20, 22, 24, 26, 28, 30, 32, 34, ",1287,510962
372,22318,WEST,urban,Ternopil Oblast,167,5,"м.Борщів – вул.Б.Хмельницького, вул.Галицька, вул.Івасюка, вул.Й.Сліпого, вул.Котляревського, вул.Кошового, вул.Наливайка, вул.Нова, вул.Об’їзна, вул.Паркова, вул.Промислова, вул.С.Бандери: 85–178; вул.Федьковича, вул.Черемшини, вул.Чорновола, вул.Шухевича","м.Борщів – вул.Б.Хмельницького, вул.Галицька, вул.Івасюка, вул.Й.Сліпого, вул.Котляревського, вул.Кошового, вул.Наливайка, вул.Нова, вул.Об’їзна, вул.Паркова, вул.Промислова, вул.С.Бандери: 85–178; ву",2022,610063
376,11589,North and Center,urban,Kyiv Oblast,97,5,"м.Березань – вул.Героїв АТО, вул.Героїв Небесної Сотні: 11–23, 30–37, 39, 41–41А, 43–45, 47, 51, 53, 55, 57–59, 61, 65, 67, 69–71, 73, 75–77, 79, 81, 91, 95; вул.Зарічна, вул.Зінченка, вул.ім.В’ячеслава Чорновола, вул.Київська, вул.Комарова, вул.Короленка, вул.Парникова, вул.Чехова, вул.Ювілейна, пров.Березовий, пров.Богатирський, пров.Братів Охріменків, пров.Кленовий, пров.Кудрявського, пров.Максютівський, пров.Озеряний, пров.Островського, пров.Павлова, пров.Слобідка","м.Березань – вул.Героїв АТО, вул.Героїв Небесної Сотні: 11–23, 30–37, 39, 41–41А, 43–45, 47, 51, 53, 55, 57–59, 61, 65, 67, 69–71, 73, 75–77, 79, 81, 91, 95; вул.Зарічна, вул.Зінченка, вул.ім.В’ячесла",1786,321086
378,15561,WEST,rural,Lviv Oblast,126,7,с.Зарічне,,415,210784
378,7921,WEST,urban,Zakarpattia Oblast,71,5,"м.Іршава – вул.Беляєва, вул.Гаврила Глюка, вул.Космонавтів, вул.Лесі Українки, вул.Ніколаєва, вул.Нова, вул.Онуфрія, вул.Першотравнева, вул.Промислова, вул.Севастьянова, вул.Степана Вайди, вул.Титова, вул.Феннича, вул.Юрія Короля, вул.16 Липня, вул.40-річчя Перемоги, пл.Народна","м.Іршава – вул.Беляєва, вул.Гаврила Глюка, вул.Космонавтів, вул.Лесі Українки, вул.Ніколаєва, вул.Нова, вул.Онуфрія, вул.Першотравнева, вул.Промислова, вул.Севастьянова, вул.Степана Вайди, вул.Титова,",1831,180008
